100 480 600
20	340
230	504
245	375
260	385
260	380
285	416
290	420
295	425
306	441
314	457
320	422
322	447
326	476
330	470
335	474
346	496
350	540
350	500
364	527
370	518
382	539
386	426
390	547
390	522
405	430
416	565
420	568
420	445
420	556
428	578
444	484
468	502
480	505
480	625
510	578
530	630
550	685
553	653
560	715
570	640
570	595
588	748
600	760
630	674
660	685
672	832
675	830
675	795
688	843
695	840
737	837
740	895
760	830
770	915
780	824
785	930
790	925
810	835
818	973
825	965
830	975
870	1005
910	990
948	1103
972	1123
976	1130
992	1185
1000	1135
1010	1205
1015	1060
1015	1155
1019	1205
1037	1097
1043	1219
1043	1198
1060	1200
1074	1235
1083	1128
1085	1260
1090	1225
1095	1120
1104	1134
1116	1146
1125	1160
1140	1180
1150	1310
1150	1290
1170	1195
1190	1240
1210	1325
1230	1255
1240	1385
1245	1375
1260	1285
1260	1400
1270	1400
1280	1430
1290	1340
1360	1480
1410	1540
