50 480 600
245	360
255	389
290	420
311	454
322	447
327	473
363	565
383	512
456	610
488	640
490	590
555	695
571	726
584	739
590	660
623	778
636	791
649	804
660	800
720	745
745	805
780	940
790	870
814	976
864	1024
870	1005
870	1025
883	1038
890	1045
930	1075
935	1090
945	1090
960	1115
972	1123
992	1185
1037	1213
1042	1345
1044	1229
1065	1245
1075	1240
1080	1265
1085	1245
1090	1190
1100	1260
1125	1310
1134	1189
1135	1310
1230	1255
1350	1385
1380	1445
